"","Mu_c","Mu_ML","Sigma_c","Sigma_ML","H_c","H_ML","Alpha_c","Q_Stat","Mean","Sd"
"773",-0.383513220536812,-0.395922909611479,0.848191200005517,0.84894538159197,0.884641093208524,0.899714263661449,1.99737554314553,0.111009753814584,-0.383327327749168,0.921526634763645
"774",0.918267504009662,0.914336072608372,0.709165634671284,0.700859016067156,0.847039299917909,0.890813445785417,1.99810043657405,-1.05843591565935,0.917348518271937,0.837377179954789
"775",0.446095766088969,0.454609357046069,0.752839409062157,0.75000452904544,0.858078108100634,0.879829552728997,2.00010391516495,0.798202876190437,0.443294374048202,0.866170667950726
"776",-0.205401050009349,-0.109210496687074,0.770142940015507,0.768582108753166,0.859609282008388,0.901795566233129,2.00220061522715,-0.657307176801686,-0.206436853185766,0.871498077338417
"777",0.18060318617391,0.143633105922242,0.730772253713352,0.725018362243928,0.858475448945697,0.893777129957888,2.00044302262786,-0.656950619622918,0.180804284061577,0.850881111020928
"778",-0.403511117639568,-0.361386424888871,0.719580086009076,0.705775286037131,0.840650711758374,0.903933101855914,1.99851361675942,-0.94106399458476,-0.403027327586804,0.839281548718094
"779",-0.473581714511701,-0.418568328241563,0.80324846755261,0.806658782293869,0.88327850235578,0.904378138805854,1.99993595741691,-0.924351120963181,-0.473954166811017,0.896656672184908
"780",0.841342670619089,0.837578177718505,0.836119015643509,0.836163891291414,0.869094632585547,0.883857684506474,1.99906638898821,-0.809421003405197,0.85080162616347,0.914553024881716
"781",0.412426515210632,0.425176453171557,0.746600266041107,0.731695246642966,0.828622145374476,0.883691360650627,2.00132133184681,1.64365839944035,0.414543909399666,0.855539695011737
"782",0.212859683301042,0.240828101093433,0.946281681672957,0.937428755267269,0.883428324631825,0.91602364521729,1.99913408707789,0.516653740939249,0.212998715287411,0.968051053392286
"783",0.201387710417592,0.142230510181528,0.714060996803165,0.711218585611654,0.847958084619892,0.887096347364832,2.00153088048981,-1.28174025629258,0.202512638120529,0.841390884174999
"784",0.39237003466121,0.404307258992853,0.761741111332361,0.748287492983274,0.846330834266004,0.915368123368169,2.00179551670731,0.525907618580592,0.390939147445724,0.865149136329098
"785",0.804546821935349,0.751146301282115,0.780995389332769,0.779215626221831,0.867417267293327,0.897002096191325,2.0002333626634,-0.386618372981321,0.802689761480004,0.881446181918368
"786",0.0513368741382438,0.0208146125498088,0.994216145032828,1.00719317897897,0.921862482128108,0.898470613092137,2.00009994351202,-0.730570963947093,0.0522747769285028,1.00334779136222
"787",-1.01471482942242,-1.00124749300425,0.964213107663018,0.959359056440718,0.900954709801669,0.911328988565299,1.99954845383647,-0.804341406662414,-1.02199505171307,0.979493899622678
"788",0.186791693445095,0.306867826019456,0.911670493760187,0.933326716745803,0.896223601565287,0.898178838111568,2.00073308612976,-0.304395851045845,0.195491949727073,0.959886879969236
"789",0.468347123399831,0.433057961565174,0.783070790814689,0.777983496343487,0.859779128610487,0.898729139153942,1.99790699853706,1.29593687878057,0.464765699146848,0.881684069902876
"790",0.104886027156369,0.126981966991934,0.964322236629237,0.958555483249431,0.898749049293256,0.924205804420247,1.9994065475095,-0.0923362043727031,0.109719705054595,0.979151094568778
"791",-0.692138226758877,-0.719199762097241,0.737072446583606,0.730383068571399,0.850960647621389,0.890570065687375,2.00254111403926,-0.823807901569039,-0.68936950055126,0.854317360905225
"792",0.491820299311155,0.474281833915783,0.853874674863094,0.842261173857321,0.87538175292483,0.921503350027192,2.00151368298074,-0.609212444274104,0.491597749365396,0.917813992152854
"793",-0.357631787515479,-0.296279197841695,0.719508312551488,0.705118354757063,0.840930137180236,0.912196447184069,1.99910872864864,-1.1800122219727,-0.354372328056774,0.837910848643228
"794",-0.312484862332161,-0.292435300943957,0.6463886346257,0.628529504727301,0.807970240151288,0.883411627190512,2.00144836656194,-0.95537847183944,-0.313989519935354,0.792703670942638
"795",1.36540596375242,1.3131806729642,0.861610538476689,0.875663523395047,0.894087019460099,0.895148254701443,2.00069959761286,-0.571226102672436,1.36207038312067,0.934724651821714
"796",-0.0705546103702986,-0.0450887297715901,0.679629627983523,0.662731589955842,0.828154526922682,0.902458377674248,2.00043311723013,-1.33076561441408,-0.0704215415569818,0.813892529224499
"797",-0.433411651631571,-0.422618836888536,0.765331738644366,0.763349454372704,0.841260874828499,0.906963389184116,1.99824231584307,1.06266267891161,-0.433497299454546,0.873849483540985
"798",0.0649444141910134,0.0729991478082636,0.832227866806439,0.827382618378874,0.857602314422125,0.90328320350622,1.99886015882436,1.30338360221483,0.0659816248885395,0.90980615868114
"799",-0.224644541673916,-0.102150194132683,0.884674221467467,0.893133329053727,0.872409096755347,0.913770721440027,2.00001771419733,1.0622346557746,-0.222722206301743,0.937568790304747
"800",0.420552931576614,0.378618648107514,0.827713197760872,0.843142169748285,0.893447924013677,0.900828501261748,1.99847206660421,-0.673539746011527,0.418838538217315,0.917575884022303
"801",0.777286372288117,0.779922650902081,0.917163491713443,0.917275399713833,0.892958248401623,0.898370802539069,2.00271439903283,0.657936178468029,0.781294482426195,0.957983498805744
"802",0.339733609063786,0.312353199512875,0.812524996467529,0.809349122194182,0.859250103098445,0.900264512687766,1.99965655778155,2.17166172456872,0.341803684760891,0.899381028391167
